month,Age_group,activity,land_use,tickbite_status
8,2,3,61,TRUE
8,2,3,61,TRUE
6,2,3,61,TRUE
7,2,3,61,TRUE
6,2,3,61,TRUE
4,2,3,61,TRUE
7,2,3,61,TRUE
7,2,3,61,TRUE
6,2,3,61,TRUE
8,2,3,61,TRUE
6,2,3,61,TRUE
6,2,3,61,TRUE
7,2,3,61,TRUE
7,2,3,61,TRUE
7,2,3,61,TRUE
8,2,3,61,TRUE
6,2,3,61,TRUE
6,2,3,61,TRUE
6,2,3,61,TRUE
7,2,3,61,TRUE
8,2,3,61,TRUE
7,2,3,61,TRUE
5,2,3,61,TRUE
6,2,3,61,TRUE
5,2,3,61,TRUE
7,2,3,61,TRUE
5,2,3,61,TRUE
7,2,3,61,TRUE
8,2,3,61,TRUE
8,2,3,61,TRUE
7,2,3,61,TRUE
6,2,3,61,TRUE
7,2,3,61,TRUE
6,2,3,61,TRUE
6,2,3,61,TRUE
7,2,3,61,TRUE
6,2,3,61,TRUE
6,2,3,61,TRUE
7,2,3,61,TRUE
7,2,3,61,TRUE
5,2,3,61,TRUE
5,2,3,61,TRUE
9,2,3,61,TRUE
6,2,3,61,TRUE
7,2,3,61,TRUE
6,2,3,61,TRUE
5,2,3,61,TRUE
5,2,3,61,TRUE
6,2,3,61,TRUE
5,1,3,61,TRUE
6,1,3,61,TRUE
7,1,3,61,TRUE
6,1,3,61,TRUE
5,1,3,61,TRUE
8,1,3,61,TRUE
7,1,3,61,TRUE
7,1,3,61,TRUE
7,1,3,61,TRUE
6,1,3,61,TRUE
8,1,3,61,TRUE
7,1,3,61,TRUE
7,1,3,61,TRUE
5,1,3,61,TRUE
3,1,3,61,TRUE
4,1,3,61,TRUE
8,1,3,61,TRUE
5,1,3,61,TRUE
6,1,3,61,TRUE
7,1,3,61,TRUE
5,1,3,61,TRUE
8,1,3,61,TRUE
6,1,3,61,TRUE
4,1,3,61,TRUE
8,1,3,61,TRUE
6,1,3,61,TRUE
5,1,3,61,TRUE
7,1,3,61,TRUE
3,1,3,61,TRUE
7,1,3,61,TRUE
4,1,3,61,TRUE
6,1,3,61,TRUE
6,1,3,61,TRUE
6,1,3,61,TRUE
6,1,3,61,TRUE
7,1,3,61,TRUE
6,1,3,61,TRUE
10,1,3,61,TRUE
5,1,3,61,TRUE
5,1,3,61,TRUE
7,1,3,61,TRUE
8,1,3,61,TRUE
10,1,3,61,TRUE
6,1,3,61,TRUE
6,1,3,61,TRUE
6,1,3,61,TRUE
6,1,3,61,TRUE
7,1,3,61,TRUE
7,1,3,61,TRUE
8,1,3,61,TRUE
5,1,3,61,TRUE
6,1,3,61,TRUE
5,1,3,61,TRUE
8,3,6,61,TRUE
6,3,6,61,TRUE
5,3,6,61,TRUE
6,3,6,61,TRUE
4,3,6,61,TRUE
7,3,6,61,TRUE
7,3,6,61,TRUE
5,3,6,61,TRUE
6,3,6,61,TRUE
7,3,6,61,TRUE
5,2,6,61,TRUE
8,2,6,61,TRUE
4,2,6,61,TRUE
7,2,6,61,TRUE
4,2,6,61,TRUE
5,2,6,61,TRUE
5,2,6,61,TRUE
6,2,6,61,TRUE
5,2,6,61,TRUE
7,2,6,61,TRUE
9,2,6,61,TRUE
7,2,6,61,TRUE
7,2,6,61,TRUE
5,2,6,61,TRUE
4,2,6,61,TRUE
7,2,6,61,TRUE
6,2,6,61,TRUE
6,2,6,61,TRUE
4,2,6,61,TRUE
4,2,6,61,TRUE
7,2,6,61,TRUE
6,2,6,61,TRUE
10,2,6,61,TRUE
8,2,6,61,TRUE
6,2,6,61,TRUE
6,2,6,61,TRUE
7,2,6,61,TRUE
9,2,6,61,TRUE
7,2,6,61,TRUE
9,2,6,61,TRUE
4,2,6,61,TRUE
6,2,6,61,TRUE
6,2,6,61,TRUE
5,2,6,61,TRUE
6,2,6,61,TRUE
6,2,6,61,TRUE
6,2,6,61,TRUE
7,2,6,61,TRUE
4,2,6,61,TRUE
6,2,6,61,TRUE
6,2,6,61,TRUE
6,1,6,61,TRUE
5,1,6,61,TRUE
5,1,6,61,TRUE
4,1,6,61,TRUE
8,1,6,61,TRUE
9,1,6,61,TRUE
8,1,6,61,TRUE
4,1,6,61,TRUE
5,1,6,61,TRUE
10,1,6,61,TRUE
7,1,6,61,TRUE
5,1,6,61,TRUE
7,1,6,61,TRUE
5,1,6,61,TRUE
7,1,6,61,TRUE
6,1,6,61,TRUE
7,3,1,61,TRUE
7,3,1,61,TRUE
7,3,1,61,TRUE
5,3,1,61,TRUE
7,3,1,61,TRUE
9,3,1,61,TRUE
7,3,1,61,TRUE
6,3,1,61,TRUE
7,3,1,61,TRUE
5,3,1,61,TRUE
6,3,1,61,TRUE
7,3,1,61,TRUE
8,3,1,61,TRUE
8,3,1,61,TRUE
7,3,1,61,TRUE
7,3,1,61,TRUE
5,3,1,61,TRUE
6,3,1,61,TRUE
6,3,1,61,TRUE
7,3,1,61,TRUE
9,3,1,61,TRUE
5,3,1,61,TRUE
7,3,1,61,TRUE
7,3,1,61,TRUE
6,3,1,61,TRUE
6,3,1,61,TRUE
4,3,1,61,TRUE
7,3,1,61,TRUE
7,3,1,61,TRUE
7,3,1,61,TRUE
7,3,1,61,TRUE
5,3,1,61,TRUE
6,3,1,61,TRUE
8,3,1,61,TRUE
7,3,1,61,TRUE
7,3,1,61,TRUE
6,3,1,61,TRUE
6,3,1,61,TRUE
6,3,1,61,TRUE
7,3,1,61,TRUE
8,3,1,61,TRUE
7,3,1,61,TRUE
6,3,1,61,TRUE
8,3,1,61,TRUE
5,3,1,61,TRUE
7,3,1,61,TRUE
7,3,1,61,TRUE
8,3,1,61,TRUE
7,3,1,61,TRUE
6,3,1,61,TRUE
6,3,1,61,TRUE
6,3,1,61,TRUE
6,3,1,61,TRUE
7,3,1,61,TRUE
8,3,1,61,TRUE
6,3,1,61,TRUE
7,3,1,61,TRUE
7,3,1,61,TRUE
7,3,1,61,TRUE
7,3,1,61,TRUE
6,3,1,61,TRUE
7,3,1,61,TRUE
6,3,1,61,TRUE
6,3,1,61,TRUE
5,3,1,61,TRUE
6,3,1,61,TRUE
7,3,1,61,TRUE
6,3,1,61,TRUE
6,3,1,61,TRUE
7,3,1,61,TRUE
6,3,1,61,TRUE
7,3,1,61,TRUE
6,3,1,61,TRUE
6,3,1,61,TRUE
7,3,1,61,TRUE
6,3,1,61,TRUE
5,3,1,61,TRUE
4,3,1,61,TRUE
6,3,1,61,TRUE
8,3,1,61,TRUE
5,3,1,61,TRUE
6,3,1,61,TRUE
7,3,1,61,TRUE
5,3,1,61,TRUE
6,3,1,61,TRUE
5,3,1,61,TRUE
7,3,1,61,TRUE
10,3,1,61,TRUE
6,3,1,61,TRUE
6,3,1,61,TRUE
10,3,1,61,TRUE
8,3,1,61,TRUE
6,3,1,61,TRUE
2,3,1,61,TRUE
7,3,1,61,TRUE
6,3,1,61,TRUE
7,3,1,61,TRUE
7,3,1,61,TRUE
6,3,1,61,TRUE
8,3,1,61,TRUE
6,3,1,61,TRUE
8,2,1,61,TRUE
9,2,1,61,TRUE
6,2,1,61,TRUE
4,2,1,61,TRUE
6,2,1,61,TRUE
8,2,1,61,TRUE
6,2,1,61,TRUE
5,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
8,2,1,61,TRUE
6,2,1,61,TRUE
3,2,1,61,TRUE
3,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
4,2,1,61,TRUE
4,2,1,61,TRUE
9,2,1,61,TRUE
11,2,1,61,TRUE
8,2,1,61,TRUE
9,2,1,61,TRUE
10,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
8,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
3,2,1,61,TRUE
6,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
3,2,1,61,TRUE
8,2,1,61,TRUE
3,2,1,61,TRUE
9,2,1,61,TRUE
5,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
5,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
4,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
8,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
8,2,1,61,TRUE
4,2,1,61,TRUE
8,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
4,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
9,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
8,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
5,2,1,61,TRUE
8,2,1,61,TRUE
7,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
4,2,1,61,TRUE
5,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
9,2,1,61,TRUE
4,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
5,2,1,61,TRUE
11,2,1,61,TRUE
7,2,1,61,TRUE
3,2,1,61,TRUE
5,2,1,61,TRUE
5,2,1,61,TRUE
4,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
8,2,1,61,TRUE
8,2,1,61,TRUE
6,2,1,61,TRUE
5,2,1,61,TRUE
7,2,1,61,TRUE
8,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
4,2,1,61,TRUE
6,2,1,61,TRUE
4,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
5,2,1,61,TRUE
9,2,1,61,TRUE
8,2,1,61,TRUE
8,2,1,61,TRUE
4,2,1,61,TRUE
8,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
5,2,1,61,TRUE
2,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
5,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
8,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
5,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
9,2,1,61,TRUE
5,2,1,61,TRUE
3,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
8,2,1,61,TRUE
9,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
9,2,1,61,TRUE
9,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
9,2,1,61,TRUE
9,2,1,61,TRUE
8,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
5,2,1,61,TRUE
4,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
9,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
4,2,1,61,TRUE
9,2,1,61,TRUE
4,2,1,61,TRUE
8,2,1,61,TRUE
10,2,1,61,TRUE
6,2,1,61,TRUE
3,2,1,61,TRUE
4,2,1,61,TRUE
5,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
5,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
11,2,1,61,TRUE
10,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
4,2,1,61,TRUE
7,2,1,61,TRUE
11,2,1,61,TRUE
10,2,1,61,TRUE
4,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
4,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
5,2,1,61,TRUE
5,2,1,61,TRUE
5,2,1,61,TRUE
4,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
8,2,1,61,TRUE
6,2,1,61,TRUE
5,2,1,61,TRUE
5,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
4,2,1,61,TRUE
6,2,1,61,TRUE
8,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
8,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
4,2,1,61,TRUE
9,2,1,61,TRUE
10,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
5,2,1,61,TRUE
7,2,1,61,TRUE
5,2,1,61,TRUE
8,2,1,61,TRUE
5,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
8,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
5,2,1,61,TRUE
5,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
8,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
5,2,1,61,TRUE
7,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
5,2,1,61,TRUE
7,2,1,61,TRUE
10,2,1,61,TRUE
5,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
8,2,1,61,TRUE
4,2,1,61,TRUE
6,2,1,61,TRUE
4,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
10,2,1,61,TRUE
6,2,1,61,TRUE
8,2,1,61,TRUE
7,2,1,61,TRUE
3,2,1,61,TRUE
8,2,1,61,TRUE
6,2,1,61,TRUE
8,2,1,61,TRUE
10,2,1,61,TRUE
5,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
8,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
9,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
8,2,1,61,TRUE
4,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
5,2,1,61,TRUE
8,2,1,61,TRUE
10,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
9,2,1,61,TRUE
5,2,1,61,TRUE
5,2,1,61,TRUE
8,2,1,61,TRUE
8,2,1,61,TRUE
9,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
5,2,1,61,TRUE
5,2,1,61,TRUE
10,2,1,61,TRUE
8,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
9,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
8,2,1,61,TRUE
6,2,1,61,TRUE
5,2,1,61,TRUE
3,2,1,61,TRUE
6,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
12,2,1,61,TRUE
4,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
8,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
8,2,1,61,TRUE
3,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
8,2,1,61,TRUE
6,2,1,61,TRUE
4,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
4,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
9,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
5,2,1,61,TRUE
10,2,1,61,TRUE
7,2,1,61,TRUE
9,2,1,61,TRUE
8,2,1,61,TRUE
5,2,1,61,TRUE
4,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
5,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
7,2,1,61,TRUE
8,2,1,61,TRUE
6,2,1,61,TRUE
10,2,1,61,TRUE
6,2,1,61,TRUE
11,2,1,61,TRUE
11,2,1,61,TRUE
5,2,1,61,TRUE
7,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
6,2,1,61,TRUE
